nome,num_clientes,capacidade,veic_disponiveis,veic_ga,veic_otimo,custo_ga,custo_otimo,desvio_pct
C101,100,200,25,10,10,828.936866942834,827.3,0.19785651430363713
C102,100,200,25,10,10,862.3986106408463,827.3,4.242549334080303
C103,100,200,25,10,10,901.1958726112972,826.3,9.064004914836895
C104,100,200,25,10,10,985.1021037240978,822.9,19.7110346000848
C105,100,200,25,10,10,862.3749082369944,827.3,4.239684302791548
C106,100,200,25,10,10,828.936866942834,827.3,0.19785651430363713
C107,100,200,25,10,10,828.936866942834,827.3,0.19785651430363713
C108,100,200,25,10,10,881.649468191659,827.3,6.569499358353569
C109,100,200,25,10,10,857.0261501468088,827.3,3.593152441292021
C201,100,700,25,3,3,591.5565566715014,589.1,0.417001641741878
C202,100,700,25,3,3,591.5565566715014,589.1,0.417001641741878
C203,100,700,25,3,3,676.3891358789054,588.7,14.895385744675623
C204,100,700,25,3,3,960.4389929231648,588.1,63.3121906007762
C205,100,700,25,3,3,835.7660498278151,586.4,42.524906178003945
C206,100,700,25,3,3,705.4501357767963,586.0,20.383982214470358
C207,100,700,25,3,3,649.5021819000116,585.8,10.874390901333497
C208,100,700,25,3,3,591.7695877451099,585.8,1.0190487786121454
R101,100,200,25,20,20,1748.331948654912,1637.7,6.75532445838138
R102,100,200,25,18,18,1510.4715790115326,1466.6,2.991379995331565
R103,100,200,25,14,14,1288.9938748248335,1208.7,6.642994525095841
R104,100,200,25,11,11,1139.74345215341,971.5,17.31790552273907
R105,100,200,25,16,15,1491.4403411209753,1355.3,10.045033654613395
R106,100,200,25,14,13,1379.3777658164995,1234.6,11.726694137088904
R107,100,200,25,12,11,1246.1471517217008,1064.6,17.053085827700627
R108,100,200,25,10,10,1074.6956290747978,932.1,15.298318750648834
R109,100,200,25,14,13,1282.9678725274248,1146.9,11.86397005209039
R110,100,200,25,12,12,1146.2923365675038,1068.0,7.330743124298104
R111,100,200,25,12,12,1200.9458653086785,1048.7,14.517580366995183
R112,100,200,25,11,10,1108.7934243000877,948.6,16.8873523403002
R201,100,1000,25,5,8,1266.8635074671931,1143.2,10.817311709866434
R202,100,1000,25,4,8,1209.517832775785,1029.6,17.474536982885123
R203,100,1000,25,3,6,1094.826644678922,870.8,25.726532461980035
R204,100,1000,25,3,5,894.581389331266,731.3,22.327552212671414
R205,100,1000,25,3,5,1160.7178083534332,949.8,22.20654962659857
R206,100,1000,25,3,5,1023.1687449184102,875.9,16.813419901633775
R207,100,1000,25,3,4,912.9359050228368,794.0,14.97933312630186
R208,100,1000,25,3,4,757.3568297340707,701.0,8.039490689596397
R209,100,1000,25,3,5,1156.1800807940683,854.8,35.25737959687276
R210,100,1000,25,3,6,1070.0752263995787,900.5,18.831230027715566
R211,100,1000,25,3,4,927.5137146320149,746.7,24.215041466722216
RC101,100,200,25,16,15,1781.128933727579,1619.8,9.959805761672982
RC102,100,200,25,15,14,1549.6801099574905,1457.4,6.331831340571591
RC103,100,200,25,12,11,1382.6047156587397,1258.0,9.904985346481691
RC104,100,200,25,12,10,1328.5609008266267,1132.3,17.33294187288058
RC105,100,200,25,15,15,1638.332917656297,1513.7,8.233660411990286
RC106,100,200,25,14,12,1578.184605945576,1372.7,14.96937465910804
RC107,100,200,25,13,12,1383.8456182504854,1207.8,14.575725968743617
RC108,100,200,25,11,11,1209.4894096073444,1114.2,8.552271549752682
RC201,100,1000,25,5,9,1468.6813560585372,1261.8,16.39573276735911
RC202,100,1000,25,4,8,1530.9178427581694,1092.3,40.1554374034761
RC203,100,1000,25,4,5,1188.051092372446,923.7,28.618717372788343
RC204,100,1000,25,3,4,937.0284036552109,783.5,19.59520148758276
RC205,100,1000,25,5,7,1466.3411835725633,1154.0,27.065960448229053
RC206,100,1000,25,4,7,1167.8869377874503,1051.1,11.110925486390483
RC207,100,1000,25,4,6,1097.246668324404,962.9,13.952297053110815
RC208,100,1000,25,3,4,1104.9644912291644,776.1,42.37398418105455
